,reviews
1626, belfast to seoul via london heathrow pretty poor short haul connection to london was good before you had to pay for food and drink and genuinely felt like there was more leg room than the long haul flight from london was very cramped i m slightly above average height but by no means a giant and i really struggled to get comfortable seat was too narrow very little leg room and the space to put my feet was taken up by what i assume was the processor for the ife system for the seat in front the seat was very narrow and got pretty uncomfortable after around hours the food was ok nothing special not very much of it and the thimble of drinking water you get every few hours is hardly enough as a child i remember the food on ba flights being very good but something has gone terribly wrong staff are one of the few things ba has going for it at the minute one of the few things left from the ba of old when it was actually worthy of the name friendly staff on the flight and in the airport flew the same route with qatar airways a few months before and they were quite simply in a different league one last note you build this terminal which is meant to be world class firstly there is no smoking area although we re constantly being told not to smoke many people still chose to you expect people to wait in your terminal for hours on connections and we can t even enjoy a fag in the process though it seems the toilets are an unofficial smoking area as you re normally met with a wall of smoke when you walk in i am not someone who can walk into an airport and buy a rolex and a gucci outfit like most people i recommend you set up some shops where normal people can actually afford the things in them rather than just window shop 
1627, paris to london heathrow i am a ba gold guest list member with tier points i cannot believe what is happening to ba the attendants and crew look embarrased to be offering such a poor quality product cramped seats chaotic boarding every flight announced our flight is busy today so if you want to check bags in other words they have crammed in so many seats there is no room for cabin luggage now you pay for food and even water two trolleys pass very slowly down the aisle because it takes so long to serve and pay for food or drink effectively blocking access to the toilets for the whole flight how can they let a cost cutting ceo with no understanding of quality service run a premium priced airline it is appalling and this is no more than a high cost carrier with low cost service a shame to be called british this airline is in terminal decline and i need to look for matched status from a proper premium airline don t pay for ba shortfall use cheap alternatives its the same service 
1628, world traveler plus from heathrow to sfo the only whinge we had with the experience is that the new entertainment system had to be re booted boarding was pretty much average with no zone boarding for economy just everybody get on first time in premium economy and we loved it where ba shined was post flight i did the unforgivable and walked off with the wrong checked bag discovered it hours drive later got contacted by staff at ba luggage and in spite of the mess being entirely my fault immediately volunteered to fedex overnight my bag to me also having just come from a cruise on a line famed for its food the food stood up surprisingly well compared to oceania s 
1629, buenos aires to london i was warned that ba had gone downhill but i decided to give it a try on this long haul flight to start with you cannot reserve your seat prior to check in unless after paying over for a business class ticket you are willing to spend some additional per leg to have your seat reserved i call this insane to be honest so i waited and waited and waited till check in opened and made it to get a forward facing aisle seat latam lounge in buenos aires was nice food average but connecting from santiago i had the time to take a shower with ground crew extremely nice and attentive boarding was sort of a mess as ba let frequent flyers not flying business board through the business class door so there was a flood of people moving back and forth to get to the rear of the plane crew simply unable to handle this process so you did not feel like being taken care of during boarding aircraft was a class boeing and looked a bit tired seat was the absolute worst part of this flight as it is narrow too hard to have a nice sleep and for aisle passengers this configuration feels like having a wall on one side and being exposed to people trolleys passing through the aisle on the other side once flat it is a little short too even for me i m cm high no giant here and narrow so you find yourself forced to sleep on a side in addition to that when you lie down the drawer is not accessible therefore you have literally no space to store anything not even your glasses if you wear them food was just ok i still can t understand how ba can run out of entr e options in business class crew very mature for such a long trip but friendly and nice it really shows they are suffering from these cost cuts as they keep apologizing for everything that is not available or not working entertainment system made me smile a bit as the selection of movies was ok but the screen was much smaller than some other carrier economy class ones to sum up it was an average flight if it was not for the lie flat seat i would call it more a premium economy experience than a business one ba needs to improve business class as they are well below par if compared to almost all european carriers not even to compare the middle east airlines 
1630, gatwick to pisa check in at gatwick a breeze chaotic boarding process though flight took off approximately minutes late the cabin crew were exceptional and are one thing that ba have going for them middle seat vacant in business class but in reality no extra leg room in the seats and if the passenger in front decides to recline you have even less room as for the catering ba are getting this wrong why are they insisting on dumbing down on their once reasonable standards i hardly call cheese on toast a satisfactory meal choice despite calling it croque monsieur it is still cheese on toast what ever way you look at it i hope mr cruz reads these reviews it is not what the customer wants ba are turning into a high cost no frills airline so much for their motto to fly to serve remember mr cruz and mr walsh there are other airlines offering a much better service 
1631, flew british airways from london to dubai to start with awful seats i felt like i was being squashed by both passengers on either side of me need more room then it was rude staff i was shocked to top it off when the host came around with the the food he completely skipped me and was working his way back when i interrupted him to ask for food he got annoyed with me when i moved my seat back after they had removed the food trays a man behind me hit my chair and started yelling at me i m a female travelling alone and i felt frightened by that just shows how little space everyone has been given i m really disappointed with ba 
1632, stuttgart to london with british airways how things have changed passengers now queue at gate as with easyjet or ryanair rather than sitting and waiting to be called unsurprisingly boarding in stuttgart by agency staff was chaotic unsure who was entitled to what cabin crew increasingly young and inexperienced probably because older members have left in view of the transformation of british airways to a budget airline how visible this was few people bothered to purchase the over priced snacks and drinks on offer once that was out of the way the three cabin crew members gathered in the rear galley chatted and munched away at the spare food from the business class section which had been surreptitiously taken to the rear at the rear i noticed that one of the two lavatories for economy class has now been ripped out and replaced by two seats without window directly opposite the one remaining toilet those passengers looked particularly unhappy not least because of the constant queues alongside them everything about british airways now is shabby telling passengers how little they are valued and this does not even mention the extra costs for hold luggage and for seat reservations my ticket theoretically gave me a choice of seat but at the appointed time there were only four choices left so no i won t be flying them again unless all other options fail 
1633, flew nice to gatwick for a sandwich in club class we travel in business class whether long haul or in europe for a better experience this is even more important now since the quality of service in economy has nosedived under the stewardship of se or cruz it started badly when we discovered once more that the flight was not at the terminal but in a remote location that required much waiting on a bus just like a charter flight i asked a staff member why this was so to be told that the terminal was too small to cope but i noticed low cost carrier norwegian was parked on a jetty we had booked seats in the second row as we wanted a choice of hot meal those at the rear of club often have no option due to catering limitations passengers were offered a choice of a curry i think yum or salmon yuck by the time the nice crew got to us only salmon was left this is high in potassium a fish i must avoid i asked why the other dish had run out by the second row only two were loaded was the reply what two only for the whole of club yes i asked what else was on board only to be told that i would have to pay for an m s sandwich from economy before some help from our avios the tickets cost it was beyond belief that an executive card holder should be treated this way the very nice cabin crew were excruciatingly embarrassed ba should wake up before once loyal passengers swallow hard pun and migrate to other carriers i d rather fly easyjet and spend the change on a nice meal 
1634, london lgw to lima booked to fly out in premium economy and back in business overnight i like ba s website that allows you split classes like this in the event got upgraded to business both ways no idea why i am not a frequent flyer flights left and arrived on time gatwick s sunday morning check in scrum is awful all ba cabin crew and ground staff very polite and helpful food very good outward slightly poorer quality of meat on return but that will be the peru catering supplier cabin clean but plastic partitions and carpets are looking a bit tired ife screens are old and small plane was g ymms both ways hate the ba penny pinching that even when you have paid they still want another to pick a seat 
1635, punta cana to gatwick return i would really like to say a good thing about my recent two flights with ba but can find nothing the layout of the business class cabin is so bad with half the seats facing backwards that you have someone staring at you when the little divider is not up the seats are extremely narrow that you cannot easily turn when they are in the sleep position and they are so low that it is almost impossible to get up from them in more than years of traveling i have not been in a worse business class the selection of films and music is limited and the screen small the food on the two trips was passable but nothing more and the wines less than passable unless you like plonk i do not suppose it is much fun for the flight attendants to work in such a low class environment but they did not one thing more than was absolutely necessary i have saved the best for last because on the return flight the temperature of the cabin was close to freezing and i wore two pullovers and a blanket and was still cold i know that many former ba customers have been bemoaning the fall in standards aboard and i regret that i join that group that will if possible never fly ba again 
1636, washington to london heathrow return british airways seems to be having an identify crisis are they a full service or a low cost carrier the meals have been cut back to almost nothing seat selection fees abound and checked baggage fees may apply depending upon the the type of ticket purchased united airlines now has a better trans atlantic coach product than ba food on the outbound overnight flight breakfast has been reduced to a granola bar on the return flight dinner was tiny small amounts of food in half filled bowls presented on a large tray as if to emphasize the lack of food and the pre landing snack has been replaced with the aforementioned granola bar given the lack of food ba should just switch to buy on board so at least fewer people would go hungry flight crews seemed apologetic about the lack of food seat fees i don t know of any other full service carrier that will not assign a seat in advance as part of a paid ticket just assume it will cost you another or more per ticket on ba luggage fees completely opaque policy on our outbound trip we were told our tickets included one free checked luggage item on our return we were told checked bags would be extra although the kindly baggage check in attendant waived the fee for us no doubt he too is as much a victim of ba s indecipherable baggage fee policy as are passengers entertainment boeing outbound with good modern on demand ife system on the return a boeing the system was an older on demand system with small blurry screens that were almost unwatchable cabin crews were generally friendly in fairness both our flights were on time and nothing went wrong but ba just feels cheap and stingy will likely fly the competition in the future 
1637, new york jfk to london heathrow return my review is based on three different criteria service food and seat comfort overall the service was very good the flight attendants were very attentive throughout the flight and very professional any request was handled in a timely manner the flight was full but service did not suffer the food on the flight was absolutely disgusting and inedible a choice of thai vegatable curry or a chicken dish which i ate one bite of the highlight of the meal was the two bite chocolate granache also they have eliminated the second meal snack service all they served was tea coffee and a cookie very poor indeed seat comfort was the best i ve experienced in economy i managed hours of sleep on a hour crossing the slideable headrests allow your head not to bob if not for the disgusting food i would give a 
1638, malaga to gatwick the seat had barely any legroom and it reclines only or degrees impossible to relax food and drinks including coffee and water are now being charged and the airline only provides one trolley for whole plane we were sitting in row of and it took us nearly hours to be served and only cards are accepted which makes things worse appalling if you want to fly like this fly ryanair for a fraction of the price 
1639, stavanger to las vegas via london heathrow this is a salute to the fantastic staff at terminal helping my group out when everything seemed lost because of american airlines terrible customer service the trip was originally meant to be a codeshare where we flew with ba booking under aa flights from lhr to las via jfk the trip took place on april rd we risked being stranded with out of travelers at lhr because of aa somehow magically losing our itineraries and not interested at all in helping rather blaming everyone else the ba service personnel spent hours trying to solve it and decided to take matters in their own hands they got us travelers on their direct flight from lhr to las the day after arranging for accommodation transport to from the airport and dinner breakfast even though aa was mainly responsible for our journey the service on board was to expect from a economy flight of that duration seats was good food all right complimentary drinks and very welcome the ife was great the screens was a little small compared to other newer aircraft s for this type of long haul but no particular issues 
1640, flew with british airways from london heathrow to moscow return over easter the plane was old seats cover reminded me of unclean grey carpet on the way to moscow had seat next to emergency exit so had some leg space though the screen for entertainment as well as table were getting stuck so had to choose between watching film and having food resulting with the food provided placed on my lap and cup of coffee on the floor the food itself was miserable stone cold cheese and onion sandwich without alternatives whereas the crew had hot lunches with meat as i noticed while queuing for toilet and there were only two for a fully booked economy class on the way back to london had a seat in the middle of the cabin with so little leg space that i literally could not even cross my legs as my knees were stuck into the seat in front seats were not reclining either the food was even worse than on the inbound flight stone cold cheese and onion sandwich was replaced with stone cold cheese and onion small bun and hot drinks were only served once over four hours flight do not fly ba to russia it employs tactics of easyjet albeit the latter is superior in comfort and customer service 
1641, copenhagen to mexico city via london heathrow upper deck window seat british airways uses a configuration with every second seat backwards to serve window and center seats the crew open a blind between the seats and pass food and drinks over the aisle seat it also means you will be face to face with the passenger besides you this could be great or horrible food is nothing special but service is polite bags did not make the flight but their representative on ground was very helpful and bags arrived next day i had to pick them up myself would fly again as usually have good fares to mexico 
1642, gatwick to rome return outward flight the plane was full booked and paid for an aisle seat but no legroom and narrow seat did not eat on the aircraft landed on time return flight left rome late again full this time i booked and paid for aisle seat near emergency exit more leg room food on the plane was from m s chose the ploughmans option having looked at the glossy catalogue the food bore little resemblance to the photograph dry and not filled i feel sorry for the cabin crew as it takes them ages to serve the food receive payment you can t use cash and then clear it all up passengers near the rear of the aircraft would be lucky to be served british airways european flights are nothing more than a no frills airline so much cost cutting it opens the door to look at other cheaper options offering the same service this is not good enough 
1643, prague to london heathrow british airways have lost the plot ba is now a budget airline and offers the bare minimum of services for a higher than budget fare check in is ridiculous as you wait for all the other categories to be processed such as gold members bronze members families business class silver members they do at last get round to calling for anyone left and then it s a scowl from the shabby attendant as you board the plane seating is fair though leg room is tight the flight left a little late but arrived almost on time which was fine there is no food nor even a coffee provided and a couple of flight attendants come down the aisle at a snail s pace with a trolley i can t believe ba now make passengers pay extra for food and drink ba shows itself up as very much a budget airline and a fr cry from its illustrious past i wonder what has happened to ba for it to have fallen so far this will be my last flight with ba unless there are no other options available as ba is more expensive than its direct budget competitors and not a full service airline anymore 
1644, london to istanbul i am ever increasingly disappointed with british airways the constant penny pinching is having a material affect not only on the hard product but the staff who seem dispirited the seats lounge food aircraft cleanliness on board food and beverages all are sub par compared to rival airlines my most recent flight back i took an aisle seat for a change the flight was quite full and there are a constant stream of people from the economy cabin coming through the business class cabin to use the toilets this is really quite irritating especially during meal service no attempt was made by the crew to stop this or even close the curtain splitting the cabins even after complaints i find the aircraft consistently dirty and on this flight someone had left chewing gum on the seat as well i think ba don t care on the flight from istanbul electronic devices are banned other airlines allow them up to boarding and then arrange for them to be taken off you british airways has not even bothered to offer entertainment or even extra magazines on the flight they really don t appear to give any care for their passengers even those flying business class 
1645, paris orly to new york via london unlike some american carriers and some other european carriers there is no beverage service on short haul flights tea costs pounds economy overseas is a joke too they bring the premium drinks service from the back to the front so economy class passengers get to see the kind of amenities they could have had they replaced the nd meal they used to offer with snacks but of the options cookies snack sized kit kats and snack sized mars you may only have one i asked to have an extra snack i was told no only one onboard media is decent but nothing to write home about i classify this airline as slightly above a budget airline you do get one meal after all and entertainment but not much better than that 
1646, los angeles to london heathrow i have to agree with all the other reviews on here ba have gone so far in cost cutting that the service the flight attendants are able to offer is just appalling there s just nothing positive left to say about them from the newly refurbished that looks drab and cramped with the new uncomfortable slimline seats to the disgusting cheap meals the flight attendants were pleasant but you can see they re embarrassed and have nothing to offer all this would be fine but british airways still charges premium prices and for what i just took a flight on the same route with virgin atlantic and what a difference all the little extras that make long flights bearable are still there and the prices are cheaper i m afraid to say i won t be flying ba anymore unless it s to use up avios i d acquired 
1647, london to milan linate i landed in london after taking connecting flights from orange county california to dallas and then dallas to london both on american i landed in london at p m this flight did not leave until p m i went to the british airways help desk and asked if i could get on the flight they told me to go to the gate and wait to see how full the flight was before the flight as i had only one carry one and nothing checked i went to the gate just before boarding and they told me that it was impossible as i would have had to go to the ticket area at least an hour before to change the ticket so i had to wait another hours i have now been traveling for hours at the gate for boarding they looked at the bag and said i would have to check it i explained that it is a regulation carry on bag and it was on the last two flight and i have had the same bag on over flights as carry on i explained that it was on the last to connecting flights and i have been traveling for a long time and did not want to wait a long time for my bags as i will be getting in late they were very rude and tagged the bag but still gave it to me to carry down to the tarmack and get on the bus to the plane i decided to carry it on to the plane it fit easily in the overhead as it has for every other flight there were other bags that were bigger than mine they actually came on the plane and took the bag off and put in in the cargo hold if that wasn t annoying enough i could not believe i asked for water to take a pill and they charged me for a bottle of water they also charged the woman next to me for a cup of tea i could understand this possible on one of the discount airlines but this was british airways to end my frustration it took almost an hour to get my bag as the belt stopped halfway through the process i am a travel agent and will never book for someone else or myself unless there is no other viable choice 
1648, london to nice return british airways has gone down no more food on board arrived in nice and it was hour before we foudd our baby s buggy in another section altogether no one informed when returning no buggy arrived at heathrow my two year old is now without a buggy and no one knows anything i was told three different messages we have the buggy we don t have the buggy terrible service all round the airline has gone down and staff really don t care especially in heathrow baggage office they simply don t cater for families or care 
1649, baltimore to nice via london my ordeal started when i could not check in online i called ba and they said the flight is under airport control and i have to check in at the airport fair enough but i should have known something was wrong when i get to the airport hours ahead i wanted to get a good seat i was told that premium economy was overbooked and that i was involuntarily being bumped to economy never mind that i bought and paid for the ticket months ago the staff were not even nice about it quite beligerent they offered me a compensation card for where they got this amount i don t know i would have preferred the seat then they tell me i need to contact ba for a refund of the difference in price why should i need to contact them they moved me they know they moved me shouldn t it be automatic so i am being inconvenienced twice because of their mistake i did send an e mail on their refund form and have yet to hear from them it has been a week i had a horrible flight i have severe back pain one reason i booked premium for the extra room which was made worse by my economy seat my screen did not work for movies although the flight attendants did try it is as though they wanted to make me have a bad trip fast forward while in france i tried to use the compensation card declined so i tried to use it on amazon and nespresso online also declined really ba i sent another e mail telling them the card is not working nothing i have flown ba in the past and have been happy with the not anymore i have had it with ba i will not fly with them again because when there is a problem they do not come through 
1650, a business class sale convinced me to give it a try on a trip home from sofia to boston i have to say that my wife daughter and i were completely pleased somewhat surprisingly so quick efficient checkin at the business class counter in sofia decent contract lounge excellent service and food onboard both the club europe flight to london and club world flight to boston terrific flight attendants and much better food than i am used to on united lh or austrian i have a gluten allergy and need to order special meals all three gluten free meals on this trip were among the best i have had all three included flavorful sauces which is something lh always omits from its special meals the galleries lounge in the b satellite terminal was excellent not as much food on offer as in the lh and os lounges or even the new ua lounge at heathrow t but it was quiet and comfortable and we really liked the quirky club world business cabin the middle section is great for couples every seat has a storage drawer and the entertainment system was solid there were four toilets for business class my only complaint the outrageous policy that required me to pay to reserve seats together in business class as the fight was not full i probably could have gotten seats together at checkin but i did not want to take the risk and ba got additional revenue which is obviously why they do it 
1651, an excellent experience on a roundtrip trip from hong kong to copenhagen through london despite being in economy class the flight attendants were attentive and also proactive serving our needs before we even needed to ask they were friendly and made us feel completely at home the on board entertainment selection was very extensive with high quality options english and international movies of high caliber and the screen interface was modern and easy to use the seats on the flight from hkg lhr on the boeing er were new and much more comfortable than the average older seat the pilot was incredibly descriptive of the flight path we were taking and kept us up to date in terms of turbulence arrival time weather without being overbearing or overly disruptive with regards to the pre boarding ground service one of the check in representatives went out of her way accommodating my boyfriend and i so that we could sit together and have a window seat both of which were not available at check in due to the fact that we had bought our tickets separately and had not selected seats beforehand we really appreciated her willingness to look at what she could do to make our trip more pleasant this was not my first time flying with british airways but it had been a long time since i last boarded a long haul flight with them and the trip exceeded my expectations british airways in my opinion is not the outdated carrier that many deem it to be 
1652, london heathrow to larnaca british airways used to be a good airline now it is just another expensive airline with low cost service the ticket prices are still very high but they don t offer any food or drinks any more for short haul flights also they do not let you to choose a seat unless you pay really dissapointed 
1653, flew london gatwick to san jose costa rica we have flown business on numerous occasions and have noticed the decline in british airways the service on this flight was appalling travelling as a couple we were sat in the centre seats which the cabin staff appeared to ignore when offering any of the cabin services i e drinks towels etc the normal routine stuff on too many occasions we had to request attention chosen meals were not available on both outward and return flights and we were sat in row at the front of the service collection of waste items had to be requested the galley kitchen was not restocked and by the end of the flight looked like a bomb site no glasses or cups were available for even a glass of water cabin staff were noticeable by their absence during most of the flight hot towels will soon be the size of a postage stamp toilet bags are cheap ba have totally lost the plot they are no longer a premium service and willie walsh and co need to take a flight on emirates qatar etc to realise their failings business seating configuration is ridiculous passengers in the centre seats have to hurdle their way to the isle over the isle passengers legs as part of the same trip we made domestic flights to connect again service is in reverse but the costs aren t if ba wants to become a budget airline then they need to offer budget fares i don t think they have a clue what they are doing in future we will avoid them unless absolutely necessary the only positive of the trip was the lounge at gatwick the lounge at san jose is a joke 
1654, the flight from new york jfk to london heathrow was extremely uncomfortable although the entertainment was quite good on the tvs the food was horrible plasticy tasting and above all not tasty the flight from heathrow back to jfk had many delays although this was out of anyone s control it was very inconvenient and there was a terribly long wait to board the new plane hours at first we were told that we would be brought to a new plane as soon as possible but almost an hour later here were many other delays and disappointments that we were notified about the other passangers and myself should not have to wait for hours to get on a new plane i wish the discomfort of the plane bad food and time of delays were reduced dramatically so far not a good first trip on british airways 
1655, very very poor customer service from british airways myself and my partner were on a flight that was overbooked and so were accommodated on a different flight on the same day with a via point of oman while upset about the change of trip and the delay that would occur as a result we accepted that these things happen and were told to go straight to boarding for our flight to oman when we asked about tickets for the second flight we were given a form of ticket and told we would have to visit the transfer desk in oman to get our boarding passes on arriving in oman they had no clue who we were and the flight we were meant to be on was full we were left there for hours with no communication from anyone in a transfer unit with no shop or vending machine and no offer of refreshments after pleading with airport staff we were placed on a flight to bahrain and transferred to our original planned destination new delhi we were approximately hours delayed arriving and did not receive a single apology that day to say it was a traumatising experience was an understatement 
1656, i had to change my flight back from san diego because of an accident that required a stay in hospital i d flown out first class and had a business class return i do understand why some fare structures mean that flights are not changeable but ba were absolutely no help at all they flatly refused to change the flight so i had to buy a ticket in the only available class world traveller plus which cost one way the first class fight to was ok nice cabin crew and good food but grubby cabin and clear cost cutting no snacks water etc in the galley like there used to be absolutely no help on the return trip despite requests before the flight because i was walking with a stick i d requested an aisle seat had to ask again at check in as they had given me a seat in the middle which would have really annoyed other passengers as i tried to get across them to go to the loo etc with my stick really poor value at and rubbish seats uncomfortable and tv screens that aren t great the food was awful clear that costs are being cut massively maybe their plan is to offer such rubbish food that when they introduce food you have to buy in long haul we all feel grateful it s a pity really it s obviously bas call if they want to be a no frills airline but i d rather they were honest with us so that we can choose amongst the many other no frills airlines but they keep trying to say that ba is a leading brand with strong values when clearly they ve decided to cut costs wherever they can but still charge high prices might make them profitable to be a follower in the short term but i suspect people will vote with there feet and fly with someone else 
1657, philadelphia to edinburgh via heathrow in january i ve always enjoyed flying british airways and usually make my yearly trips to philly with them rather than flying direct to newark via united the long haul flight was ok food service was a wee bit slow but it was the usual chicken and rice which was ok for an economy class flight however it was a surprise to me that they no longer served breakfast or even a snack in the morning so the chicken was the only food we got on the flight i wasn t too fussed about that until i got on my connecting flight to edinburgh where i found out that they no longer served free food by this point i was pretty hungry so i caved in and got ready to pay for a bacon roll which never happened because the trolly never reached me to top it all off we left heathrow late because of a computer problem meaning i missed my train connection in edinburgh but i understand that these things happen at times however recent cuts to service and the upcoming densification of the long and short haul fleet make ba a lot less attractive furthermore the headphone jack on my ife was loose so it was quite difficult to watch films during the flight which was disappointing on the up side the staff both at the desk and during the flight were great as always considering i got the flight for a good price it was ok although i will definitely not be going out my way to fly ba and will just go for the cheapest or direct option in future i m indifferent in recommending flying with ba if they suit you best then go ahead but don t go out your way to fly them if there are cheaper or direct options just go for them instead because there isn t anything particularly outstanding 
1658, well where do you start this is a business seat on a supposedly premium brand the ticket price was in excess of the lounges at lhr t need work yes british airways are investing but long overdue the small lounge for b gates needs to be re thought and offer better food options to the aircraft its been refitted apparently but should be scrapped the seats remain tired the vanity screen was not working properly the entertainment system is past its best with smudges and scratches the carpets look like they need a very good clean and are grubby indeed the toilets are old overall the aircraft is well past what could be described as a premium regarding the crew they have been bashed and are a shadow of their former selves sad but true too many apologies for the rubbish decisions of management on this trip the galley kitchen was poorly stocked and many of the usual items were missing e g waitrose fruit and yogurts they have also stopped the ice cream food served was not good saving grace was the meat platter but what could you do to spoil sliced meats and cheese blankets are faded and ragged the toilet bags are a joke cheap and nasty this route was the jewel in the airline crown and one that has slide down the priority ladder ba need to invest in a new fleet re energise the crew change the catering and get a few more choices upgrade the seating and change seating configuration to avoid being an olympic pole vaulter 
1659, london heathrow to singapore business class flight from heathrow to singapore flight took off over hours late with no real explanation why and we were not kept informed it seems ba is these days later in taking off during the flight i felt like many of the staff serving were not friendly as one would expect in any flight let alone in business class and my calls to request additional water or other quite basic service elements were not responded to with any friendliness or a service mindset the main meal we were served was absolutely awful it was supposed to be an asian meal of a curry with prawns but was just like gunge and was not edible i really don t know how they could have deemed this meal acceptable also the breakfast was far too late and seemed to be a big rush to try and complete the service before the plane landed which seemed totally unnecessary as i was hungry between courses i went to the galley to get snacks but the selection was poor and the staff seemed to react badly to this for some reason i have noticed a big difference of the snacks on offer in the past few years i have been a ba silver member for many years but now see no reason to renew i always try and fly qatar where possible when going to asia now as the service is better and often the price too there is nothing redeeming about ba 
1660, what was i thinking flying this airline for the second time travelling this airline our luggage has been lost two years ago london to dublin our bags were lost for two days so this flight our bags are left in london again now i m stuck in dubai in winter clothes missing the pools and beaches at our resort waiting for our bags to turn up it s only been days now in the same clothes upside service on board ba was excellent however business class on ba europe flight is no different to economy so don t pay for business if you think you are getting a comfy seat 
1661, just got off the flight from heathrow to new orleans and have to say it was one of the worst long haul economy class flights i have ever had to endure the legroom is an absolute joke for such a long flight first time i have ever been unable to open my laptop to work i now understand why they don t offer wifi on board the seats are minuscule and if you are unfortunate to be sitting next to somebody who is rather big boned shall we say then it is a dreadful experience in my section one of the toilets was not working from the start of the flight and the other toilet rapidly descended into a disgrace with no cleaning done throughout the flight i have travelled a lot over the years first business and economy and had a gold british airways card but this was just terrible and i don t really know what ba hope to achieve in the long run i can guarantee i will seek other airlines first before considering them again anybody contemplating going to new orleans from heathrow fly with somebody else and get an internal connection you won t regret it as for ba they have about as much chance of me booking another flight with them long haul as trump has of winning the nobel prize for oratory were it to exist 
1662, we flew on a reward flight from london heathrow to brussels for a weekend and decided to treat ourselves to a full service experience we were very well looked after by superb flight attendants who had a great sense of humour the lunch was chicken salad and a nice dessert what we did notice is that the legroom was just the same as economy and seemed rather worse than usual the only perk we had was a blanked off seat in the middle which if you are a bit chunky like me it was quite difficult to manoeuvre this all tallies with what has been written in the newspapers and we like many other reviewers and frequent loyal flyers feel that ba is being turned into vueling if it weren t for the excellent pilots and flight attendants on ba who make our journeys feel very comfortable and safe we would not travel on ba we would try to find another full service airline because we enjoy flying 
1663, the cabin crew bar one lazy individual were excellent t feels like a monopoly galleries lounge food is simply appalling between breakfast and lunch there is no hot food unused hot food is removed at am sharp why not leave it so all you have is bread and stodgy croissants the upstairs of the a was in need of a serious clean cabin crew friendly although you can sense lower morale ba flights are often late now in my experience the club world a seats aren t comfortable despite everyone knowing crossing over someone s legs too get out is still a nuisance there is a scrum it down for last use of toilets before landing i had one bloke shout at me when i d been waiting long before him and he d just turned up and tried to arrogantly barge in many long term loyal passengers are starting to feel disrespected and undervalued let down after years of loyalty and serious spending we re not getting what we re paying for although charged that s the sad bit 
1664, i am just sad to have to write this review i changed from lufthansa to british airways more then years ago because it beening a premium airline that was superior in any way mostly flying between berlin the us and in recent years very frequently cape town ba had more modern planes innovative products like a great rather new first class lie flat seats in business class a new premium economy and a very good economy with good seats and legroom flying from cape town to berlin in january to keep my silver status made me realise that none of my initial reasons to choose ba still exists with the exception of the great cabin staff that i feel really sorry for the owners hired lex cruz last year a very experienced low cost airline executive and he is doing the best he can turning ba into a low cost carrier unfortunately the result is a pity no more service on short haul flights reduced service only paid snacks on long haul worn s to cape town and the grimm outlook to be traveling in cramped in s with and extra seat squeezed in from next year onwards british airways as a premium airline is lost realistically for year to come even with my status renewed i don t think i will fly them again if i don t have to meanwhile i understand that companies sometimes unterstand and correct their mistakes i do hope ba will do so in the hopefully not to distant future and keep their great staff on ground and on board 
1665, no no no british airways you ve messed up someone sat in an office thought it would be a good idea to charge for food and drink on flights just like many other airlines do and they said let s provide food from m s that will make our offering classier than the rest the problem on my flight from marrakech to london was that it being dinner time loads of passengers wanted food and drink so the service was inevitably snail paced a piece of friendly advice ba you need to provide cabin crew to handle economy on a dinnertime flight or you merely annoy your customers sitting near the back of the plane my wife and i got served hours into the hour flight by which time our tongues were hanging out but what s this only two sandwiches left and we bagged the last two packets of crisps you re promising things you can t deliver ba there is such as thing as advertising standards and your beautifully photographed food and drinks menu drives a coach and horses through the principles of advertising standards the cabin crew serving economy soldiered on with their service most impressively even managing to smile as for the umpteenth time someone s payment card failed to register on their machine hint for frequent flyers if your card just doesn t work you get your food and drink for free meanwhile behind the service trolley a phalanx of passengers with their legs tightly crossed tried to avoid exhorting the cabin crew to move their trolley so they could access the toilets to relieve themselves a very appropriate expression in the circumstances other passengers simply wanted to relieve themselves of the packaging of the food they bought hours earlier several of them eventually came down the aisle waving their empty bottles and m s extensive food packaging for the crew to remove from their sight whoever at british airways is employed to read reviews on this website please take note and pass it on to your management if you dare the process i call ryanisation of british airways is almost complete you now charge for checked baggage yes i know that s indirect but only idiots can t see through the scam you exert an extortionate price for those unfortunate enough to be tall and who need the legroom of emergency exit seats and now you ve devised a marvellous system of charged cabin service for food and drink on short haul what even ba used to call medium haul flights that annoys more than half the customers on board the plane oh and by the way why don t the cabin crew deploy the a overhead monitors that display the flight progress too costly perhaps i suggest that ba needs to return to the days of advertising when you had a wonderful slogan but with a minor revision british airways the world s least favourite airline 
